DATE,Instr,Open,High,Low,Last,Sett,CHG,Vol,P_set,P_vol,P_OI
2019-08-21,SEP19,16506.0,16515.0,16331.0,16415.0,16426,6.0,319737.0,16500,277368.0,945509.0
2019-08-21,DEC19,16413.0,16422.0,16305.0,16321.0,16401,5.0,48355.0,16406,6216.0,73706.0
2019-08-21,MAR20,,,,,16301,5.0,,16306,,
2019-08-22,SEP19,16416.0,16507.0,16323.0,16400.0,16403,23.0,360675.0,16426,326115.0,937110.0
2019-08-22,DEC19,16325.0,16414.0,16231.0,16307.0,16310,23.0,79655.0,16401,60337.0,112745.0
2019-08-22,MAR20,,,,,16210,23.0,,16301,,
2019-08-23,SEP19,16330.0,16531.0,16230.0,16515.0,16517,114.0,561801.0,16403,373247.0,896929.0
2019-08-23,DEC19,16307.0,16505.0,16206.0,16422.0,16424,114.0,179241.0,16310,81541.0,154300.0
2019-08-23,MAR20,,,,,16324,114.0,,16210,,
2019-08-26,SEP19,,16715.0,16502.0,16508.0,16503,14.0,570808.0,16517,570391.0,755347.0
2019-08-26,DEC19,,16622.0,16409.0,16415.0,16410,14.0,292899.0,16424,180619.0,238922.0
2019-08-26,MAR20,,,,,16310,14.0,,16324,,
2019-08-27,SEP19,16507.0,16629.0,16506.0,16627.0,16616,113.0,635287.0,16503,577348.0,571135.0
2019-08-27,DEC19,16415.0,16605.0,16413.0,16603.0,16523,113.0,464309.0,16410,295758.0,411546.0
2019-08-27,MAR20,,,,,16423,113.0,,16310,,
2019-08-28,SEP19,16628.0,16718.0,16610.0,16613.0,16629,13.0,501039.0,16616,645900.0,317332.0
2019-08-28,DEC19,16603.0,16625.0,16516.0,16518.0,16604,13.0,421917.0,16523,471971.0,698993.0
2019-08-28,MAR20,16523.0,16523.0,16523.0,16523.0,16504,13.0,1.0,16423,,
2019-08-29,SEP19,16612.0,16708.0,16518.0,16610.0,16602,27.0,270974.0,16629,505985.0,122775.0
2019-08-29,DEC19,16519.0,16615.0,16424.0,16516.0,16508,28.0,355403.0,16604,426985.0,880939.0
2019-08-29,MAR20,,,16503.0,16503.0,16408,28.0,,16504,1.0,1.0
2019-09-02,SEP19,16608.0,16616.0,16509.0,16610.0,16602,,37812.0,16602,271523.0,38597.0
2019-09-02,DEC19,16515.0,16522.0,16414.0,16515.0,16508,,382829.0,16508,361167.0,920502.0
2019-09-02,MAR20,,,,,16408,,,16408,,1.0
2019-09-03,SEP19,16616.0,16717.0,16511.0,16624.0,16623,21.0,10266.0,16602,37812.0,23385.0
2019-09-03,DEC19,16521.0,16623.0,16417.0,16528.0,16529,21.0,395847.0,16508,389525.0,926641.0
2019-09-03,MAR20,,16415.0,,16415.0,16429,21.0,,16408,,1.0
2019-09-04,SEP19,16621.0,16630.0,16524.0,16618.0,16624,1.0,4635.0,16623,10351.0,20898.0
2019-09-04,DEC19,16528.0,16604.0,16431.0,16522.0,16530,1.0,234888.0,16529,400510.0,942193.0
2019-09-04,MAR20,16409.0,16409.0,16409.0,16409.0,16430,1.0,1.0,16429,,1.0
